Timestamp,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15
2026/4/30,114.01,110.4,103.39,97.93,93.62,90.37,87.85,85.81,84.16,82.83,81.72,80.78,79.99,79.3,78.72
2026/4/29,118.03,110.44,103.48,97.95,93.44,89.96,87.27,85.12,83.41,82.06,80.95,80.03,79.27,78.61,78.06
2026/4/28,111.26,104.4,98.83,94.57,91.18,88.56,86.45,84.64,83.11,81.84,80.77,79.87,79.11,78.45,77.9
2026/4/27,108.23,101.69,96.76,93.12,90.25,88.01,86.16,84.54,83.15,81.98,80.98,80.14,79.44,78.82,78.31
2026/4/24,105.33,99.13,94.28,90.95,88.41,86.46,84.81,83.35,82.07,80.98,80.04,79.26,78.6,78.01,77.52
2026/4/23,105.07,99.35,94.57,91.24,88.7,86.74,85.08,83.61,82.33,81.25,80.32,79.55,78.93,78.38,77.93
2026/4/22,101.91,96.18,91.83,88.81,86.51,84.76,83.29,81.98,80.84,79.88,79.06,78.38,77.84,77.35,76.95
2026/4/21,98.48,93.24,89.46,86.84,84.82,83.26,81.94,80.75,79.73,78.89,78.18,77.59,77.1,76.66,76.32
2026/4/20,95.48,90.43,87.2,85,83.28,81.92,80.78,79.77,78.9,78.2,77.59,77.08,76.67,76.28,75.97
2026/4/17,90.38,86.51,83.86,82.01,80.54,79.41,78.45,77.59,76.87,76.31,75.83,75.41,75.07,74.75,74.48
2026/4/16,99.39,93.57,89.83,87.3,85.39,83.97,82.78,81.72,80.83,80.11,79.5,78.98,78.54,78.13,77.78
2026/4/15,94.93,90.81,88.02,85.99,84.4,83.19,82.17,81.28,80.52,79.89,79.34,78.87,78.47,78.08,77.75
2026/4/14,94.79,90.42,87.32,85.21,83.67,82.48,81.42,80.46,79.61,78.89,78.27,77.75,77.31,76.88,76.52
2026/4/13,99.36,93.47,89.78,87.37,85.64,84.32,83.15,82.08,81.14,80.34,79.65,79.06,78.55,78.06,77.66
2026/4/10,95.2,90.28,86.82,84.64,83.13,82,81,80.1,79.33,78.69,78.15,77.69,77.28,76.89,76.55
2026/4/9,95.92,90.47,86.55,84.15,82.47,81.24,80.19,79.24,78.42,77.75,77.2,76.74,76.34,75.96,75.65
2026/4/8,94.75,90.26,86.52,84.11,82.4,81.19,80.17,79.25,78.45,77.82,77.3,76.87,76.51,76.16,75.87
2026/4/7,109.27,100.06,92.77,87.95,84.94,83.13,81.8,80.61,79.6,78.79,78.12,77.57,77.12,76.69,76.34
2026/4/6,109.77,100.12,92.24,86.96,83.73,81.83,80.49,79.3,78.32,77.55,76.93,76.43,76.01,75.62,75.3
2026/4/2,109.03,99.44,91.43,85.95,82.54,80.47,79.02,77.79,76.8,76.06,75.51,75.07,74.7,74.35,74.06
2026/4/1,101.16,93.5,87.82,83.96,81.25,79.46,78.15,77.01,76.08,75.37,74.81,74.35,73.98,73.63,73.35
2026/3/31,118.35,103.97,96.17,90.17,85.91,82.95,81.01,79.62,78.43,77.44,76.68,76.06,75.53,75.09,74.68
2026/3/30,112.78,107.39,100.29,94.77,90.74,87.77,85.68,84.07,82.67,81.49,80.54,79.74,79.09,78.53,78.03
2026/3/27,112.57,105.32,98.73,93.82,90.35,87.77,85.91,84.43,83.12,81.98,81.06,80.28,79.64,79.1,78.61
2026/3/26,108.01,101.89,96.68,92.69,89.82,87.58,85.84,84.41,83.14,82.05,81.17,80.43,79.83,79.32,78.84
2026/3/25,102.22,97.26,92.93,89.39,86.92,84.98,83.5,82.29,81.21,80.27,79.52,78.89,78.36,77.9,77.46
2026/3/24,104.49,100.23,95.6,91.56,88.68,86.45,84.82,83.56,82.46,81.52,80.76,80.11,79.56,79.07,78.59
2026/3/23,99.94,95.92,91.68,87.96,85.31,83.22,81.71,80.55,79.54,78.7,78.04,77.48,77,76.58,76.17
2026/3/20,112.19,106.41,100.33,95.37,91.86,89.17,87.29,85.87,84.62,83.54,82.65,81.86,81.19,80.59,80.03
2026/3/19,108.65,103.78,98.46,94.05,90.89,88.39,86.57,85.18,83.96,82.92,82.07,81.32,80.69,80.13,79.6
2026/3/18,107.38,102.92,98.16,94.01,90.76,88.19,86.26,84.74,83.39,82.21,81.23,80.39,79.69,79.09,78.52
2026/3/17,103.42,99.39,95.02,91.21,88.21,85.79,83.95,82.47,81.14,79.96,78.95,78.11,77.42,76.84,76.3
2026/3/16,100.21,96.04,91.76,88.22,85.52,83.4,81.75,80.42,79.23,78.19,77.32,76.59,76.01,75.51,75.04
2026/3/13,103.14,98.91,94.67,91.03,88.11,85.66,83.64,81.97,80.48,79.21,78.15,77.27,76.58,76.01,75.48
2026/3/12,100.46,96.63,92.88,89.55,86.8,84.42,82.41,80.72,79.24,77.98,76.97,76.15,75.52,75.02,74.54
2026/3/11,91.98,89.35,86.71,84.32,82.28,80.51,79.03,77.77,76.63,75.64,74.83,74.17,73.64,73.2,72.78
2026/3/10,87.8,85.27,82.6,80.29,78.44,76.91,75.69,74.7,73.82,73.09,72.52,72.05,71.69,71.4,71.12
2026/3/9,98.96,93.72,88.95,85.23,82.4,80.15,78.41,77.06,75.88,74.9,74.11,73.47,72.97,72.58,72.21
2026/3/6,92.69,87.2,82.88,79.86,77.82,76.27,75.11,74.17,73.31,72.56,71.96,71.48,71.11,70.81,70.54
2026/3/5,85.41,81.04,77.92,75.96,74.66,73.59,72.7,71.93,71.25,70.68,70.24,69.89,69.62,69.39,69.16
2026/3/4,81.4,78.01,75.93,74.39,73.2,72.2,71.37,70.66,70.04,69.52,69.12,68.8,68.55,68.35,68.14
2026/3/3,81.4,78.38,76.28,74.67,73.37,72.25,71.3,70.49,69.77,69.18,68.72,68.34,68.03,67.78,67.54
2026/3/2,77.74,76.16,74.81,73.58,72.48,71.52,70.71,70.02,69.42,68.92,68.52,68.18,67.89,67.63,67.38
2026/2/27,72.48,72.87,72.29,71.61,70.88,70.2,69.61,69.09,68.64,68.24,67.89,67.6,67.35,67.15,66.97
2026/2/26,70.75,70.84,70.42,69.86,69.26,68.69,68.19,67.75,67.36,67.01,66.71,66.46,66.24,66.06,65.91
2026/2/25,70.85,70.69,70.25,69.76,69.25,68.75,68.3,67.9,67.55,67.23,66.95,66.72,66.53,66.37,66.24
2026/2/24,70.77,70.58,70.16,69.66,69.14,68.65,68.21,67.82,67.47,67.15,66.87,66.65,66.46,66.31,66.19
2026/2/23,71.49,71.11,70.54,69.94,69.36,68.82,68.33,67.9,67.52,67.18,66.88,66.64,66.44,66.27,66.14
2026/2/20,71.76,71.3,70.66,70.01,69.39,68.81,68.3,67.84,67.43,67.06,66.75,66.51,66.31,66.15,66.03
2026/2/19,71.66,71.27,70.68,70.04,69.41,68.83,68.3,67.82,67.4,67.03,66.72,66.49,66.3,66.16,66.05
2026/2/18,70.35,69.77,69.21,68.69,68.19,67.71,67.26,66.86,66.5,66.19,65.92,65.72,65.56,65.45,65.37
2026/2/17,67.42,66.87,66.42,66.02,65.64,65.3,65,64.75,64.54,64.37,64.23,64.15,64.11,64.09,64.09
2026/2/16,68.65,67.97,67.45,67.01,66.61,66.24,65.92,65.64,65.4,65.2,65.05,64.95,64.89,64.86,64.86
2026/2/13,67.75,67.09,66.6,66.2,65.82,65.48,65.17,64.91,64.69,64.51,64.37,64.29,64.25,64.23,64.24
2026/2/12,67.52,66.91,66.46,66.08,65.75,65.44,65.17,64.92,64.71,64.52,64.38,64.3,64.25,64.23,64.24
2026/2/11,69.4,68.75,68.25,67.84,67.48,67.14,66.81,66.52,66.25,66.01,65.82,65.68,65.57,65.49,65.44
2026/2/10,68.8,68.11,67.61,67.21,66.88,66.58,66.3,66.05,65.83,65.64,65.49,65.39,65.31,65.26,65.23
2026/2/9,69.04,68.42,67.93,67.52,67.17,66.85,66.56,66.3,66.07,65.87,65.7,65.59,65.5,65.44,65.4
2026/2/6,68.05,67.47,67,66.6,66.26,65.96,65.69,65.46,65.26,65.09,64.95,64.87,64.81,64.78,64.78
2026/2/5,67.55,66.98,66.49,66.08,65.72,65.41,65.15,64.93,64.74,64.58,64.46,64.4,64.37,64.36,64.37
2026/2/4,69.46,68.75,68.15,67.65,67.22,66.85,66.53,66.25,66.02,65.8,65.63,65.53,65.46,65.41,65.39
2026/2/3,67.33,66.68,66.16,65.74,65.37,65.07,64.81,64.58,64.4,64.23,64.11,64.05,64.02,64.02,64.04
2026/2/2,66.3,65.57,64.99,64.55,64.17,63.87,63.62,63.42,63.26,63.12,63.02,62.98,62.98,63,63.05
2026/1/30,70.69,69.32,68.61,68.04,67.58,67.18,66.82,66.51,66.24,66.02,65.81,65.66,65.57,65.52,65.5
2026/1/29,70.71,69.59,68.88,68.3,67.8,67.37,66.98,66.64,66.35,66.1,65.88,65.71,65.59,65.52,65.48
2026/1/28,68.4,67.37,66.74,66.28,65.91,65.6,65.33,65.09,64.89,64.73,64.58,64.47,64.42,64.4,64.41
2026/1/27,67.57,66.59,65.96,65.55,65.24,64.99,64.77,64.58,64.43,64.31,64.2,64.12,64.09,64.1,64.12
2026/1/26,65.59,64.77,64.31,64.04,63.85,63.69,63.56,63.45,63.37,63.32,63.28,63.27,63.31,63.38,63.46
2026/1/23,65.88,65.07,64.56,64.24,64,63.81,63.65,63.52,63.42,63.35,63.29,63.26,63.28,63.32,63.38
2026/1/22,64.06,63.34,62.97,62.76,62.61,62.5,62.41,62.33,62.29,62.26,62.24,62.25,62.31,62.4,62.5
2026/1/21,65.24,64.53,64.13,63.88,63.69,63.54,63.41,63.31,63.23,63.17,63.12,63.1,63.12,63.18,63.25
2026/1/20,64.92,64.19,63.76,63.48,63.27,63.1,62.96,62.86,62.79,62.74,62.69,62.66,62.68,62.73,62.79
2026/1/19,63.94,63.22,62.81,62.54,62.34,62.18,62.05,61.95,61.88,61.84,61.8,61.78,61.81,61.87,61.94
2026/1/16,64.13,63.46,63.05,62.8,62.6,62.44,62.31,62.21,62.14,62.1,62.05,62.03,62.05,62.11,62.18
2026/1/15,63.76,63.08,62.7,62.47,62.3,62.17,62.05,61.96,61.9,61.87,61.83,61.82,61.85,61.9,61.98
2026/1/14,66.52,65.83,65.36,65.03,64.76,64.53,64.32,64.16,64.03,63.92,63.82,63.75,63.72,63.73,63.76
2026/1/13,65.47,64.75,64.29,63.99,63.77,63.58,63.41,63.28,63.18,63.09,63,62.94,62.93,62.95,62.98
2026/1/12,63.87,63.22,62.85,62.64,62.5,62.37,62.25,62.17,62.11,62.06,62.01,61.97,61.97,62.01,62.06
2026/1/9,63.34,62.79,62.47,62.29,62.17,62.05,61.94,61.85,61.79,61.75,61.7,61.67,61.68,61.72,61.78
2026/1/8,61.99,61.49,61.22,61.08,61.01,60.95,60.89,60.86,60.85,60.85,60.84,60.84,60.88,60.93,61.01